threshold,precision,recall,f1,f2,fp,fn
0.46040404040404037,0.9344262295081968,0.6195652173913043,0.7450980392156863,0.6643356643356644,4,35
0.46535353535353535,0.9344262295081968,0.6195652173913043,0.7450980392156863,0.6643356643356644,4,35
0.4703030303030303,0.9344262295081968,0.6195652173913043,0.7450980392156863,0.6643356643356644,4,35
0.47525252525252526,0.9344262295081968,0.6195652173913043,0.7450980392156863,0.6643356643356644,4,35
0.4802020202020202,0.9344262295081968,0.6195652173913043,0.7450980392156863,0.6643356643356644,4,35
0.4851515151515151,0.9344262295081968,0.6195652173913043,0.7450980392156863,0.6643356643356644,4,35
0.4901010101010101,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.6542056074766355,4,36
0.495050505050505,0.9491525423728814,0.6086956521739131,0.7417218543046358,0.6557377049180327,3,36
0.5,0.9473684210526315,0.5869565217391305,0.7248322147651006,0.6352941176470588,3,38
0.5049494949494949,0.9473684210526315,0.5869565217391305,0.7248322147651006,0.6352941176470588,3,38
0.5098989898989899,0.9473684210526315,0.5869565217391305,0.7248322147651006,0.6352941176470588,3,38
0.5148484848484849,0.9454545454545454,0.5652173913043478,0.7074829931972789,0.6146572104018913,3,40
0.5197979797979798,0.9433962264150944,0.5434782608695652,0.6896551724137931,0.5938242280285035,3,42
0.5247474747474747,0.9433962264150944,0.5434782608695652,0.6896551724137931,0.5938242280285035,3,42
0.5296969696969697,0.9433962264150944,0.5434782608695652,0.6896551724137931,0.5938242280285035,3,42
0.5346464646464646,0.9433962264150944,0.5434782608695652,0.6896551724137931,0.5938242280285035,3,42
0.5395959595959596,0.9423076923076923,0.532608695652174,0.6805555555555556,0.5833333333333334,3,43
0.5445454545454546,0.9411764705882353,0.5217391304347826,0.6713286713286714,0.5727923627684964,3,44
0.5494949494949495,0.9583333333333334,0.5,0.6571428571428571,0.5528846153846154,2,46
0.5544444444444444,0.9583333333333334,0.5,0.6571428571428571,0.5528846153846154,2,46
0.5593939393939393,0.9583333333333334,0.5,0.6571428571428571,0.5528846153846154,2,46
0.5643434343434344,0.9583333333333334,0.5,0.6571428571428571,0.5528846153846154,2,46
0.5692929292929293,0.9583333333333334,0.5,0.6571428571428571,0.5528846153846154,2,46
0.5742424242424242,0.9583333333333334,0.5,0.6571428571428571,0.5528846153846154,2,46
0.5791919191919191,0.9574468085106383,0.4891304347826087,0.6474820143884892,0.5421686746987951,2,47
0.5841414141414141,0.9574468085106383,0.4891304347826087,0.6474820143884892,0.5421686746987951,2,47
0.5890909090909091,0.9574468085106383,0.4891304347826087,0.6474820143884892,0.5421686746987951,2,47
0.594040404040404,0.9565217391304348,0.4782608695652174,0.6376811594202898,0.5314009661835749,2,48
0.598989898989899,0.9555555555555556,0.4673913043478261,0.6277372262773723,0.5205811138014528,2,49
0.6039393939393939,0.9555555555555556,0.4673913043478261,0.6277372262773723,0.5205811138014528,2,49
0.6088888888888889,0.9555555555555556,0.4673913043478261,0.6277372262773723,0.5205811138014528,2,49
0.6138383838383838,0.9555555555555556,0.4673913043478261,0.6277372262773723,0.5205811138014528,2,49
0.6187878787878788,0.9555555555555556,0.4673913043478261,0.6277372262773723,0.5205811138014528,2,49
0.6237373737373737,0.9555555555555556,0.4673913043478261,0.6277372262773723,0.5205811138014528,2,49
0.6286868686868686,0.9545454545454546,0.45652173913043476,0.6176470588235294,0.5097087378640777,2,50
0.6336363636363637,0.9534883720930233,0.44565217391304346,0.6074074074074074,0.49878345498783455,2,51
